route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Smores,Campfire Crag Boulder > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106643692/smores,1.0,-1,Boulder,V3+,1,12.0,34.09303,-116.16351999999999,106643692,3.25
Uncertain Seam,Towers of Uncertainty > Geology Tour Road Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107088142/uncertain-seam,0.0,-1,Boulder,V3-4,1,10.0,33.9664,-116.0872,107088142,3.5
Renegade Sit,Maverick Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116365788/renegade-sit,2.0,-1,Boulder,V3-4,1,20.0,33.9962,-116.15,116365788,3.5
The Smoke Detector,Little Big Horn Boulder > Asteroid Belt Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106115349/the-smoke-detector,2.8,-1,Boulder,V4-,1,15.0,34.013459999999995,-116.15442,106115349,3.75
Sitting Bull,Little Big Horn Boulder > Asteroid Belt Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106115366/sitting-bull,1.8,-1,Boulder,V4-,1,10.0,34.013459999999995,-116.15442,106115366,3.75
Torquemeister,False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106048504/torquemeister,2.0,-1,Boulder,V4-,1,10.0,34.0202,-116.165,106048504,3.75
Chorizo Tacos,Land of the Lost Boulder > Echo Cove Bouldering > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108017981/chorizo-tacos,2.9,-1,Boulder,V4-,1,12.0,34.0261,-116.15843999999998,108017981,3.75
Jerry's Kids,Jerry's Boulder > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106123996/jerrys-kids,3.0,-1,Boulder,V4,1,,33.99638,-116.15553,106123996,4.0
Woody Problem,The Wood Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106641436/woody-problem,2.0,-1,Boulder,V4,1,13.0,33.9966,-116.1554,106641436,4.0
Welcome to Reality,Adolescents Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106670122/welcome-to-reality,2.0,-1,Boulder,V4,1,15.0,33.9966,-116.1554,106670122,4.0
