route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Paranormal in the West Country,Jesus Chrysler Boulder > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107064190/paranormal-in-the-west-country,2.0,-1,Boulder,V1 PG13,1,,37.415820000000004,-118.44842,107064190,1.0
Headbangers Ball,Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275471/headbangers-ball,2.0,-1,Boulder,V1,1,10.0,37.41591,-118.44877,106275471,1.0
Masterbeat,Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275497/masterbeat,1.5,-1,Boulder,V1,1,10.0,37.41591,-118.44877,106275497,1.0
Reggae Chillin',Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109641114/reggae-chillin,1.3,-1,Boulder,V1,1,7.0,37.41591,-118.44877,109641114,1.0
Can't Get Around Getting Around,Get Around Boulder > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112475919/cant-get-around-getting-around,2.5,-1,Boulder,V1,1,15.0,37.41599,-118.44842,112475919,1.0
I Killed a Man A Man Who Looked Like me,Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086090/i-killed-a-man-a-man-who-looked-like-me,2.7,-1,Boulder,V1,1,18.0,37.418440000000004,-118.45268999999999,106086090,1.0
Weasel Robbers,Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086097/weasel-robbers,2.4,-1,Boulder,V1,1,18.0,37.418440000000004,-118.45268999999999,106086097,1.0
Durban Poison Variation,Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107323717/durban-poison-variation,2.2,-1,Boulder,V1,1,20.0,37.418440000000004,-118.45268999999999,107323717,1.0
It's Raining Razorblades,Karma Alcove > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106953956/its-raining-razorblades,1.0,-1,Boulder,V1,1,15.0,37.41855,-118.45283,106953956,1.0
Nookie,Karma Alcove > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106953967/nookie,1.0,-1,Boulder,V1,1,10.0,37.41855,-118.45283,106953967,1.0
