,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
50,Tricky Grain,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241167/tricky-grain,0.0,-1,Boulder,V0,1,,37.32093,-118.57406999999999,2,1,1,1
51,Scoopy-Doo,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241182/scoopy-doo,2.0,-1,Boulder,V0,1,,37.32093,-118.57406999999999,1,1,2,2
52,Natural Melody,Natural Melody Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499885/natural-melody,2.5,-1,Boulder,V0 PG13,1,30.0,37.33676,-118.57615,2,1,5,2
53,Lifeguard Fantasy,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054347/lifeguard-fantasy,2.0,-1,Boulder,V0 PG13,1,18.0,37.318290000000005,-118.5863,1,1,6,0
54,Problem C,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322544/problem-c,2.1,-1,Boulder,V0+,1,12.0,37.329,-118.5773,22,8,9,42
55,Unnamed Arete,Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106395524/unnamed-arete,2.5,-1,Boulder,V0+,1,12.0,37.32909,-118.57791,19,6,17,31
56,West Arete,Pope's Hat > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107043966/west-arete,2.8,-1,"Trad, Boulder",V0+,1,,37.33013,-118.5785,4,2,8,5
57,Sketchpad,Sherman Acres > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107460413/sketchpad,3.8,-1,Boulder,V0+ R,1,30.0,37.2991,-118.5955,10,6,67,5
58,The Flake Crack,The Flake Crack Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499931/the-flake-crack,3.0,-1,Boulder,V0-1,1,40.0,37.337109999999996,-118.5759,1,1,4,0
59,Roadside Crack,Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107956819/roadside-crack,2.4,-1,Boulder,V1,1,20.0,37.3388,-118.5776,30,7,8,42
60,John Bachar Memorial Problem,White Slab Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112252165/john-bachar-memorial-problem,4.0,-1,Boulder,V1 R,1,25.0,37.33744,-118.57356000000001,5,4,31,5
61,Birthday Left,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106027080/birthday-left,2.2,-1,Boulder,V1,1,10.0,37.330040000000004,-118.57901000000001,216,66,75,440
62,The Prow Stand Start,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114341764/the-prow-stand-start,2.7,-1,Boulder,V1,1,16.0,37.330040000000004,-118.57901000000001,7,2,7,18
