,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
138,Ghetto Justice,Soweto Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106326737/ghetto-justice,1.3,-1,Boulder,V0+,1,10.0,37.41857,-118.45256,4,3,2,11
139,Amphibian / Junkyard,Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086670/amphibian-junkyard,2.1,-1,Boulder,V0+,1,12.0,37.41898,-118.45338999999998,20,8,9,50
140,Lady Chatterley's Toy Boy,Cry Baby Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111481003/lady-chatterleys-toy-boy,1.0,-1,Boulder,V0+,1,12.0,37.41919,-118.45364,1,1,1,3
141,Landlord,Timmy Taylor's Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114153388/landlord,1.0,-1,Boulder,V0+,1,12.0,37.41682,-118.45066000000001,1,1,0,2
142,Problem A,Slight Inducement Boulder > Slight Inducement Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111480940/problem-a,1.0,-1,Boulder,V1-,1,8.0,37.41898,-118.45338999999998,1,1,1,4
143,The Tall Wall,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106100127/the-tall-wall,3.0,-1,Boulder,V1 R,1,25.0,37.41632,-118.44928,13,4,28,18
144,Tin Medusa Right,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275348/tin-medusa-right,1.8,-1,Boulder,V1,1,10.0,37.41632,-118.44928,6,1,7,14
145,Totty Traverse,Totty Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997445/totty-traverse,2.7,-1,Boulder,V1,1,40.0,37.416109999999996,-118.44921000000001,33,6,9,66
146,Hair Loss,Corridor Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107027041/hair-loss,2.0,-1,Boulder,V1 PG13,1,20.0,37.41617,-118.4493,1,2,0,2
147,Halloween,Corridor Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109127875/halloween,1.0,-1,Boulder,V1,1,15.0,37.41617,-118.4493,2,1,1,4
