route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Wicca Tower,Wicca Tower > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530006/wicca-tower,2,-1,Boulder,V0-,1,20,37.3076,-118.43503,107530006,-0.25,5,2,2,6
Sun Circle,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620905/sun-circle,2,-1,Boulder,V0,1,18,37.30718,-118.43633,108620905,0,1,1,1,2
Mothers of Perpetual Indulgence,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724177/mothers-of-perpetual-indulgence,2.6,-1,Boulder,V0,1,12,37.30792,-118.43255,109724177,0,7,1,6,18
Erect,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724237/erect,2.5,-1,Boulder,V0,1,15,37.30808,-118.43306,109724237,0,2,2,2,4
Problem B,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724315/problem-b,2,-1,Boulder,V0,1,,37.30782,-118.43311,109724315,0,1,1,2,2
Problem A,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724486/problem-a,2,-1,Boulder,V0,1,10,37.30754,-118.43258,109724486,0,1,1,2,2
Psoriasis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731479/psoriasis,2,-1,Boulder,V0,1,12,37.30749,-118.43253,109731479,0,1,1,3,2
Erik the Bolder,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076668/erik-the-bolder,2,-1,Boulder,V0,1,8,37.3072,-118.43735,114076668,0,1,1,0,1
The Vibe,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538917/the-vibe,1.8,-1,Boulder,V0,1,10,37.30758,-118.4365,108538917,0,6,1,0,13
Problem B,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620964/problem-b,1,-1,Boulder,V0 PG13,1,20,37.30727,-118.4362,108620964,0,1,1,0,0
Problem C,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620969/problem-c,1,-1,Boulder,V0 PG13,1,20,37.30727,-118.4362,108620969,0,1,1,0,0
Scoop,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621085/scoop,3,-1,Boulder,V0,1,10,37.30711,-118.43563,108621085,0,1,1,3,2
Jormungand,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032686/jormungand,2.7,-1,Boulder,V0+ R,1,20,37.30744,-118.43635,107032686,0.5,3,4,4,3
Celtic Soul Rebel,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076678/celtic-soul-rebel,2,-1,Boulder,V0+,1,9,37.3072,-118.43735,114076678,0.25,1,1,1,1
Antiquities of Cornwall,Slab Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538842/antiquities-of-cornwall,1.5,-1,Boulder,V0+,1,15,37.30753,-118.43634,108538842,0.25,2,1,0,2
Unnamed,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076685/unnamed,2,-1,Boulder,V0-1,1,8,37.3072,-118.43735,114076685,0.5,1,1,1,0
Problem A,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620989/problem-a,2,-1,Boulder,V1-,1,12,37.30716,-118.43604,108620989,0.75,1,1,3,2
Toxygene,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203693/toxygene,1.5,-1,Boulder,V1,1,,37.30698,-118.43702,107203693,1,18,8,1,19
Blood Kin,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032693/blood-kin,3.6,-1,Boulder,V1,1,18,37.30744,-118.43635,107032693,1,15,6,40,20
Problem A,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592923/problem-a,1.5,-1,Boulder,V1 PG13,1,16,37.30733,-118.4365,108592923,1,2,1,0,2
Frey,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620684/frey,1,-1,Boulder,V1 PG13,1,16,37.30736,-118.43648,108620684,1,1,1,0,2
Head Butt,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106317426/head-butt,2.9,-1,Boulder,V1,1,,37.30792,-118.43255,106317426,1,16,5,7,26
