route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Pimp Trick Gangsta Chick,Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106687863/pimp-trick-gangsta-chick,2,-1,Boulder,V9-,1,12,37.41591,-118.44877,106687863,8.75,4,3,3,4
Last Dance,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106129137/last-dance,2.8,-1,Boulder,V9,1,,37.41624,-118.44938,106129137,9,17,7,16,28
Acid Wash Right,Acid Wash Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107029691/acid-wash-right,3,-1,Boulder,V9,1,15,37.41625,-118.44931,107029691,9,27,11,47,39
Prozac,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109971104/prozac,3,-1,Boulder,V9,1,14,37.41747,-118.45136,109971104,9,2,1,9,1
Disco Hulk,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112505733/disco-hulk,2.3,-1,Boulder,V9,1,16,37.41747,-118.45136,112505733,9,3,2,4,2
The Shining,Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106330654/the-shining,2,-1,Boulder,V9,1,12,37.41737,-118.45125,106330654,9,1,2,4,0
Cholos,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068450/cholos,2.9,-1,Boulder,V9,1,8,37.41749,-118.45018,106068450,9,8,4,13,7
Dove Direct,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111689049/dove-direct,2,-1,Boulder,V9,1,,37.41698,-118.45133,111689049,9,2,1,4,3
Flabmaster,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112513113/flabmaster,2.3,-1,Boulder,V9,1,,37.41698,-118.45133,112513113,9,3,2,1,2
"Hit the High Hard One, Sit",Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111515240/hit-the-high-hard-one-sit,2.8,-1,Boulder,V9,1,,37.4161,-118.45012,111515240,9,4,2,9,4
