Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Death Star 2000","Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106617228/death-star-2000,2.7,-1,Boulder,V8,1,12,37.42029,-118.43379
"Pow Pow","Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068479/pow-pow,3.6,-1,Boulder,V8,1,10,37.42112,-118.43318
Honalee,"Dragon Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112513100/honalee,2.5,-1,Boulder,V8,1,10,37.33822,-118.4735
"Bubba Escapes the Ward","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322788/bubba-escapes-the-ward,2.0,-1,Boulder,V9,1,16,37.42254,-118.43364
"The Ninth Wave","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322848/the-ninth-wave,3.2,-1,Boulder,V9,1,20,37.42254,-118.43364
Slunk,"Slunk Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068491/slunk,3.4,-1,Boulder,V9,1,,37.4226,-118.4346
"Enter The Dragon","Dragon Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112513071/enter-the-dragon,3.0,-1,Boulder,V9,1,12,37.33822,-118.4735
"Aquatic Hitchiker","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108730349/aquatic-hitchiker,3.0,-1,Boulder,V10-,1,8,37.42254,-118.43364
Beefcake,"Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068510/beefcake,3.2,-1,Boulder,V10,1,14,37.42254,-118.43364
"Water Hazard","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322791/water-hazard,2.3,-1,Boulder,V10,1,16,37.42254,-118.43364
"Bottom Feeder","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116586291/bottom-feeder,2.0,-1,Boulder,V10,1,12,37.42254,-118.43364
"Chizam SDS","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322772/chizam-sds,4.0,-1,Boulder,V10+,1,12,37.42254,-118.43364
"Beefy Gecko","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322757/beefy-gecko,3.0,-1,Boulder,V11-,1,15,37.42254,-118.43364
"Rorschach Test","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068521/rorschach-test,4.0,-1,Boulder,V11,1,12,37.42254,-118.43364
"Exit The Dragon","Dragon Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112513093/exit-the-dragon,2.0,-1,Boulder,V11,1,16,37.33822,-118.4735
"Beautiful Gecko","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322741/beautiful-gecko,3.0,-1,Boulder,V12,1,15,37.42254,-118.43364
"The Aquarium","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112382233/the-aquarium,3.5,-1,Boulder,V12,1,25,37.42254,-118.43364
