,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
74,The Egg Timer,106044195,1.5,-1,10.0,34.0202,-116.165,11,2,6,13
75,West Face Arete,107996033,1.4,-1,9.0,34.0202,-116.165,7,2,3,13
76,West Face - Right,107996040,1.7,-1,11.0,34.0202,-116.165,12,3,3,26
77,Without a Trace,106130796,1.0,-1,20.0,34.0202,-116.165,1,1,1,0
78,Scudder Slab B,109150860,0.9,-1,10.0,34.01896,-116.16562,7,4,0,7
79,Problem A,112453955,1.0,-1,12.0,34.01907,-116.16609,2,1,2,2
80,Problem C,112453976,1.3,-1,13.0,34.01907,-116.16609,3,2,2,2
81,Problem D,112453979,1.0,-1,12.0,34.01907,-116.16609,1,1,1,1
82,Hooker on Crack,112454187,1.0,-1,12.0,34.019290000000005,-116.16592,1,1,1,0
83,Wannabe,106157170,1.2,-1,10.0,33.984140000000004,-116.1525,20,7,8,32
84,Dreaming of the Mantel,106742669,1.0,-1,20.0,33.983000000000004,-116.1545,2,1,1,3
85,Lumpy,105789399,1.1,-1,15.0,34.06265,-116.22634,8,4,4,23
86,Mini-Arete,105789405,1.4,-1,10.0,34.06265,-116.22634,14,7,4,34
87,Mini-Slab,105789408,1.4,-1,10.0,34.06265,-116.22634,12,6,3,25
88,Rotten Teeth,109990589,1.0,-1,8.0,34.06265,-116.22634,3,2,3,5
89,Problem A,109989591,1.0,-1,9.0,34.06265,-116.22634,1,1,1,6
90,Sinfully Delicious,105789836,1.3,-1,13.0,34.06265,-116.22634,11,7,10,22
91,The Choc-o-Roach,109989767,2.5,-1,13.0,34.06016,-116.2243,2,1,9,5
92,Problem A,109989773,1.0,-1,11.0,34.06016,-116.2243,1,1,3,3
93,Warm-Down,105790040,1.0,-0.75,10.0,34.0752,-116.24196,4,3,0,5
94,Hoffmans Highman,105790049,1.0,-0.75,20.0,34.0752,-116.24196,1,1,0,1
95,Problem A,110049039,1.0,-1,10.0,34.07526,-116.24197,1,1,0,2
96,Zygote,106622306,1.0,-1,10.0,34.0808,-116.2462,1,1,1,0
97,Blastula,106622312,1.0,-1,15.0,34.0808,-116.2462,2,1,0,1
98,Primer,106069384,1.0,-1,15.0,34.0808,-116.2462,1,1,2,0
99,Blip,106622250,1.0,-1,15.0,34.0808,-116.2462,1,1,0,0
100,Dark Island,106654134,1.0,-1,10.0,34.0808,-116.2462,1,1,1,0
101,West Entrance Warm-up,106622330,1.0,-1,15.0,34.0891,-116.2614,2,2,4,3
102,Locker's Chimney,106115815,1.9,-1,15.0,34.0402,-116.1978,9,4,5,19
103,Hand Crack,106115821,1.4,-1,15.0,34.0402,-116.1978,7,2,5,18
104,Flake,106115824,1.4,-1,15.0,34.0402,-116.1978,8,3,6,21
105,Fist Crack,106115828,1.0,-1,15.0,34.0402,-116.1978,2,2,5,6
106,Descent Route,106112875,1.0,-1,15.0,34.0398,-116.1943,2,2,0,2
107,Rawhide,106277730,1.0,-1,10.0,34.0398,-116.1943,2,1,0,1
108,Chimney Problem,110049101,1.0,-1,20.0,34.08392,-116.23255,1,1,0,2
109,Easy 1,1100491241,1.0,-1,16.0,34.08392,-116.23255,1,1,0,2
110,Easy 2,1100491332,1.0,-1,14.0,34.08392,-116.23255,1,1,0,0
111,South Arête,112843936,1.7,-1,10.0,34.08958,-116.25335,3,3,2,7
112,Mr. Creosote,106682991,1.5,-1,10.0,33.9534,-116.0871,2,2,4,2
113,Wafer Thin Mint,106682996,2.0,-1,10.0,33.9534,-116.0871,2,2,5,2
114,Shark's Fin Left,106513948,1.0,-1,15.0,33.9512,-116.0768,1,1,3,0
115,Tanorexia,106640349,2.0,-1,15.0,33.9512,-116.0768,1,1,5,0
116,Cyberchondria,106640360,1.0,-1,15.0,33.9512,-116.0768,1,1,2,0
117,Hamburger Helper,106658105,0.0,-1,15.0,33.9454,-116.077,1,1,2,0
