route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Oil On Canvas,Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642998/oil-on-canvas,2,-1,Boulder,V1,1,10,37.42112,-118.43318,106642998,1,15,6,5,29
Problem A,Pow Pow Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643041/problem-a,1,-1,Boulder,V1,1,8,37.42112,-118.43318,106643041,1,1,1,0,4
The Black Stuff,Misery Cave > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106635002/the-black-stuff,3,-1,Boulder,V1 PG13,1,15,37.41759,-118.43276,106635002,1,12,6,28,16
Tight Arete,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740039/tight-arete,1.5,-1,Boulder,V1,1,8,37.4217,-118.43308,106740039,1,6,2,0,12
Tiger Lily,South Arete Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/110352036/tiger-lily,2,-1,Boulder,V1 PG13,1,15,37.4217,-118.43308,110352036,1,1,1,0,0
Problem A,Parking Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915403/problem-a,1.3,-1,Boulder,V1,1,10,37.4228,-118.4341,106915403,1,3,1,1,8
Problem B,Parking Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915410/problem-b,1.5,-1,Boulder,V1,1,10,37.4228,-118.4341,106915410,1,2,1,1,4
Problem A,Slunk Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915464/problem-a,1,-1,Boulder,V1,1,10,37.4226,-118.4346,106915464,1,1,1,0,2
Beyond Beano,Beano Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915534/beyond-beano,2,-1,Boulder,V1,1,10,37.4227,-118.4345,106915534,1,1,1,0,2
Kipper Snapper,Big Kipper Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107566452/kipper-snapper,2.5,-1,Boulder,V1,1,,37.4198,-118.4341,107566452,1,8,4,6,17
Laughing Cow,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642891/laughing-cow,2.5,-1,Boulder,V1+,1,10,37.42324,-118.43279,106642891,1.25,6,5,0,7
Sir Isaac Hayes,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637352/sir-isaac-hayes,1.8,-1,Boulder,V1+,1,12,37.42232,-118.43364,106637352,1.25,5,2,1,9
Chemical Romance,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106637320/chemical-romance,1.9,-1,Boulder,V2,1,12,37.42207,-118.43344,106637320,2,19,7,6,30
Problem A,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669640/problem-a,1,-1,Boulder,V2,1,10,37.42207,-118.43344,106669640,2,2,1,0,3
World Shut Your Mouth,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108543/world-shut-your-mouth,2.6,-1,Boulder,V2,1,12,37.42075,-118.43391,106108543,2,32,8,16,53
Sleeping Gas,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108604/sleeping-gas,2.3,-1,Boulder,V2,1,12,37.41759,-118.43276,106108604,2,19,10,4,24
