star_ratings,suggested_ratings,on_to_do_lists,ticks
1,1,0,2
1,1,5,0
1,1,3,0
1,1,3,0
1,1,2,0
75,23,425,76
3,3,13,7
2,2,1,4
1,1,4,0
1,1,1,0
1,1,1,0
0,1,1,0
0,1,1,0
1,1,4,0
1,1,4,0
1,1,1,0
2,1,7,2
269,59,780,381
7,3,15,13
2,2,8,4
21,7,23,17
12,4,32,8
13,7,8,12
1,1,1,1
90,34,110,124
8,5,3,11
11,6,9,16
23,12,23,32
5,2,3,6
1,1,0,0
3,2,6,1
1,1,4,0
1,1,2,0
3,2,5,4
2,1,1,0
0,1,0,0
2,2,9,3
1,1,1,1
3,1,5,2
1,1,4,2
1,1,1,1
7,5,16,8
1,1,2,1
3,3,7,1
17,5,30,29
4,2,21,6
1,1,9,0
1,1,6,1
3,3,7,2
1,1,5,0
1,1,2,0
1,1,0,0
1,1,4,2
0,1,1,0
1,1,2,0
2,2,2,2
2,2,2,2
6,3,6,6
1,1,2,0
1,1,2,0
1,1,5,0
1,1,2,0
5,4,9,6
2,2,15,2
1,1,1,0
3,2,11,0
2,2,3,1
0,1,0,0
1,1,3,0
0,1,1,0
1,1,1,0
5,4,23,11
4,3,8,16
21,9,5,32
13,7,32,22
2,2,7,1
1,1,1,0
1,1,1,0
3,2,2,2
91,28,298,106
2,1,3,1
2,1,4,2
1,1,2,0
0,1,0,0
92,18,564,114
28,5,68,33
1,1,4,1
7,3,38,8
2,2,19,3
3,1,4,1
108,24,384,118
2,2,15,2
2,1,9,1
85,25,49,123
121,40,203,203
4,2,21,2
3,1,4,1
2,2,16,2
7,4,13,6
1,1,0,1
6,4,8,7
14,7,32,15
3,1,1,2
1,1,6,0
5,3,1,9
1,1,1,1
7,3,29,12
2,1,4,2
24,10,44,30
1,1,2,3
2,1,10,7
4,2,30,2
2,1,13,2
1,1,2,0
2,1,1,1
1,1,1,2
2,1,1,0
1,1,0,2
1,1,1,2
3,3,5,3
7,4,3,16
1,1,0,0
1,1,1,0
1,1,1,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
3,1,2,1
2,1,0,2
0,1,0,0
1,1,3,0
1,1,3,0
1,1,3,1
1,1,0,0
1,1,6,1
0,1,0,0
0,1,1,0
7,3,98,4
13,7,38,21
1,1,5,1
1,1,0,2
19,8,8,28
3,2,2,2
4,1,1,2
1,1,0,0
1,1,0,0
1,1,0,0
5,3,29,3
1,1,2,0
4,3,15,3
93,33,167,137
14,3,6,12
3,2,18,4
1,1,1,0
4,1,4,6
1,1,3,0
31,11,169,42
1,1,4,0
6,2,48,2
14,5,85,12
1,1,2,0
1,1,11,1
0,1,3,0
8,3,8,6
1,1,2,0
1,1,2,0
1,1,4,0
1,1,4,0
1,1,2,0
1,1,2,0
1,1,1,0
2,2,2,1
2,1,1,2
2,1,4,2
1,1,3,1
12,4,34,14
6,4,5,6
13,4,27,9
7,2,17,6
7,2,10,5
20,9,31,27
0,1,1,0
4,1,8,3
3,2,9,1
5,1,22,1
7,2,68,9
1,1,1,2
1,1,0,1
2,2,5,1
1,1,5,0
25,15,55,41
2,1,1,0
5,4,5,4
15,6,27,21
5,5,25,4
2,1,0,0
2,2,1,2
15,6,28,23
2,2,4,1
2,1,5,1
1,1,4,4
1,1,0,1
1,1,1,1
1,1,0,1
1,1,8,0
1,1,3,0
1,1,1,0
1,1,0,0
1,1,2,1
0,1,1,0
0,1,2,0
6,3,22,8
1,1,2,1
40,10,198,41
2,1,13,3
120,33,387,128
24,9,12,33
1,1,0,0
6,3,8,5
1,1,0,0
1,1,1,0
7,3,21,5
1,1,11,0
2,1,2,4
7,5,62,10
2,2,5,3
12,6,71,12
7,3,42,8
1,1,0,0
3,2,34,1
4,3,8,5
42,14,137,56
20,10,173,14
19,8,116,15
2,1,6,2
1,1,3,0
2,1,0,3
2,2,3,3
20,8,151,20
1,1,2,0
11,5,5,11
1,1,0,0
1,1,5,0
3,1,7,2
1,1,0,0
1,1,3,0
1,1,2,2
1,1,4,0
9,6,36,10
9,4,49,4
1,1,5,0
1,1,6,0
3,2,5,6
9,4,130,8
5,2,9,5
6,4,13,8
5,2,8,6
18,6,24,16
2,1,11,0
5,4,28,10
9,5,9,12
10,4,123,13
1,1,11,0
1,1,3,0
1,1,1,0
49,20,209,47
32,8,251,35
24,13,52,21
33,18,81,49
7,4,39,4
2,2,6,1
13,5,80,10
2,1,5,0
2,2,18,1
3,2,3,1
18,11,42,24
12,6,68,9
16,8,25,19
1,1,5,1
9,7,16,10
19,10,64,19
3,1,15,1
4,3,10,3
1,1,3,0
6,4,71,3
1,1,8,0
1,2,3,0
3,1,2,0
1,1,10,0
1,1,0,0
1,1,2,0
1,1,1,0
2,2,16,1
4,2,14,1
1,1,1,0
1,1,1,0
3,3,24,1
5,5,13,5
2,2,7,1
2,2,20,1
2,1,5,1
1,1,9,0
1,1,6,0
2,2,20,0
