route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Junior's Arete,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130759/juniors-arete,2.4,-1,Boulder,V1,1,20.0,37.32878,-118.57687,106130759,1.0
Problem A,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322590/problem-a,2.2,-1,Boulder,V1 PG13,1,25.0,37.32878,-118.57687,106322590,1.0
Problem B,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322596/problem-b,2.1,-1,Boulder,V1 PG13,1,20.0,37.32878,-118.57687,106322596,1.0
Warm up to Hobbs,Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114316113/warm-up-to-hobbs,3.0,-1,Boulder,V1,1,12.0,37.32909,-118.57791,114316113,1.0
Unnamed V1,Boy and Girl Rocks > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107030002/unnamed-v1,2.1,-1,Boulder,V1,1,12.0,37.32993,-118.57853,107030002,1.0
Flakes,Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108002634/flakes,2.6,-1,Boulder,V1,1,,37.329229999999995,-118.57528,108002634,1.0
The Buttocks,Buttocks/Smooth Shrimp Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108002643/the-buttocks,2.0,-1,Boulder,V1,1,,37.329229999999995,-118.57528,108002643,1.0
The Womb (Birthing Experience),Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107052779/the-womb-birthing-experience,3.0,-1,Boulder,V1,1,12.0,37.329,-118.57473,107052779,1.0
Tubular,Sharma Traverse Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114189856/tubular,3.0,-1,Boulder,V1,1,12.0,37.32954,-118.57498000000001,114189856,1.0
Heart Prow,Heart Prow Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108088018/heart-prow,2.5,-1,Boulder,V1,1,,37.3184,-118.5741,108088018,1.0
No Chicken,Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715500/no-chicken,2.0,-1,Boulder,V1,1,12.0,37.318259999999995,-118.5744,116715500,1.0
Ballbuster,Queen Sweet Nectar Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112499920/ballbuster,2.0,-1,Boulder,V1,1,20.0,37.33684,-118.57603999999999,112499920,1.0
