route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Sidepull Problem,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107045626/sidepull-problem,2.1,-1,Boulder,V5,1,10.0,37.41588,-118.44993000000001,107045626,5.0,9,2,8,10,1.0,1.041392685158225,0.49136169383427264,1.041392685158225,0.8450980400142567,0.9542425094393249,3.0,3.1622776601683795,1.449137674618944,3.1622776601683795,2.449489742783178
Captain Hook,Captain Hook Alcove > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107009331/captain-hook,2.7,-1,Boulder,V5,1,10.0,37.416,-118.45,107009331,5.0,23,9,28,32,1.380211241711606,1.5185139398778873,0.568201724066995,1.041392685158225,0.8450980400142567,1.462397997898956,4.795831523312719,5.656854249492381,1.6431676725154984,3.1622776601683795,2.449489742783178
Hong Kong Phooey,King Louis > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116100150/hong-kong-phooey,2.0,-1,Boulder,V5,1,10.0,37.41622,-118.45021000000001,116100150,5.0,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.041392685158225,0.8450980400142567,0.0,1.0,1.0,1.4142135623730951,3.1622776601683795,2.449489742783178
Sucker Punch,Fred Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126697/sucker-punch,2.6,-1,Boulder,V5,1,8.0,37.4182,-118.4521,106126697,5.0,56,31,87,82,1.7558748556724912,1.919078092376074,0.5563025007672872,0.9542425094393249,0.8450980400142567,1.9444826721501687,7.483314773547883,9.055385138137417,1.61245154965971,2.8284271247461903,2.449489742783178
East Easy Rider,Fred Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126708/east-easy-rider,2.2,-1,Boulder,V5,1,15.0,37.4182,-118.4521,106126708,5.0,15,4,16,25,1.2041199826559246,1.414973347970818,0.5051499783199059,1.2041199826559246,0.8450980400142567,1.2304489213782739,3.872983346207417,5.0,1.4832396974191326,3.872983346207417,2.449489742783178
Banana-rang Delight,Headbangers Cave > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112795838/banana-rang-delight,3.0,-1,Boulder,V5,1,10.0,37.41591,-118.44877,112795838,5.0,1,1,6,1,0.30102999566398114,0.30102999566398114,0.6020599913279623,1.041392685158225,0.8450980400142567,0.8450980400142567,1.0,1.0,1.7320508075688772,3.1622776601683795,2.449489742783178
Groundhog Day,Zero Boulder > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112475862/groundhog-day,2.3,-1,Boulder,V5,1,8.0,37.4159,-118.44856999999999,112475862,5.0,6,5,4,9,0.8450980400142567,1.0,0.5185139398778874,0.9542425094393249,0.8450980400142567,0.6989700043360187,2.449489742783178,3.0,1.51657508881031,2.8284271247461903,2.449489742783178
Serengeti,Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106052564/serengeti,3.3,-1,Boulder,V5,1,15.0,37.418440000000004,-118.45268999999999,106052564,5.0,283,102,359,452,2.4533183400470375,2.656098202012832,0.6334684555795864,1.2041199826559246,0.8450980400142567,2.5563025007672873,16.822603841260722,21.2602916254693,1.816590212458495,3.872983346207417,2.449489742783178
Son of Claudius Rufus,Safe Surfer Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107007903/son-of-claudius-rufus,2.8,-1,Boulder,V5,1,,37.417,-118.4509,107007903,5.0,109,46,66,205,2.041392685158225,2.3138672203691533,0.57978359661681,,0.8450980400142567,1.8260748027008262,10.44030650891055,14.317821063276353,1.6733200530681511,,2.449489742783178
More Water Less Power,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112501940/more-water-less-power,2.5,-1,Boulder,V5+,1,40.0,37.41724,-118.45103,112501940,5.25,2,1,11,3,0.47712125471966244,0.6020599913279623,0.5440680443502756,1.6127838567197355,0.8603380065709936,1.0791812460476247,1.4142135623730951,1.7320508075688772,1.5811388300841898,6.324555320336759,2.5
Intolerable Cruelty,Coen Brothers Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997382/intolerable-cruelty,1.0,-1,Boulder,V5+,1,12.0,37.41675,-118.44941999999999,106997382,5.25,1,1,0,0,0.30102999566398114,0.0,0.30102999566398114,1.1139433523068367,0.8603380065709936,0.0,1.0,0.0,1.0,3.4641016151377544,2.5
